id, time, values
1 ,2023:2:3 ,00:00:00 ,256.7
2 ,2023:2:3 ,00:00:00 ,7.1
3 ,2023:2:3 ,00:00:00 ,47.2
1 ,2023:2:3 ,00:30:00 ,432.8
2 ,2023:2:3 ,00:30:00 ,517.8
3 ,2023:2:3 ,00:30:00 ,558.8
1 ,2023:2:3 ,01:00:00 ,383.1
2 ,2023:2:3 ,01:00:00 ,62.9
3 ,2023:2:3 ,01:00:00 ,282.7
1 ,2023:2:3 ,01:30:00 ,593.9
2 ,2023:2:3 ,01:30:00 ,204.4
3 ,2023:2:3 ,01:30:00 ,473.3
1 ,2023:2:3 ,02:00:00 ,465.2
2 ,2023:2:3 ,02:00:00 ,493.4
3 ,2023:2:3 ,02:00:00 ,98.1
1 ,2023:2:3 ,02:30:00 ,413.4
2 ,2023:2:3 ,02:30:00 ,587.4
3 ,2023:2:3 ,02:30:00 ,282.5
1 ,2023:2:3 ,03:00:00 ,317.3
2 ,2023:2:3 ,03:00:00 ,238.4
3 ,2023:2:3 ,03:00:00 ,138.9
1 ,2023:2:3 ,03:30:00 ,124.2
2 ,2023:2:3 ,03:30:00 ,574.4
3 ,2023:2:3 ,03:30:00 ,505.8
1 ,2023:2:3 ,04:00:00 ,464.2
2 ,2023:2:3 ,04:00:00 ,435.5
3 ,2023:2:3 ,04:00:00 ,369.3
1 ,2023:2:3 ,04:30:00 ,164.7
2 ,2023:2:3 ,04:30:00 ,68.7
3 ,2023:2:3 ,04:30:00 ,142.2
1 ,2023:2:3 ,05:00:00 ,97.6
2 ,2023:2:3 ,05:00:00 ,207.5
3 ,2023:2:3 ,05:00:00 ,538.7
1 ,2023:2:3 ,05:30:00 ,294.6
2 ,2023:2:3 ,05:30:00 ,480.9
3 ,2023:2:3 ,05:30:00 ,352.4
